carat,x dimension,y dimension,z dimension,depth,table,price,clarity,color,cut,fitted
0.45,4.8,4.81,2.98,61.800000000000004,54,1100.0,I1,I,FAIR,967.6022708478595
0.4,4.9,4.88,3.0075,61.2,56,1400.0,SI1,G,PREMIUM,1156.432933521326
0.4,4.8,4.78,2.96,62.2,57,1400.0,IF,D,IDEAL,830.2708798126114
0.35,4.6,5.34,2.85,62.0,57,1400.0,VVS1,F,GOOD,74.94822911874871
0.4,4.8,4.79,2.95,61.900000000000006,57,1500.0,I1,J,FAIR,761.6051842949892
0.45,4.8,4.79,2.97,61.900000000000006,56,1500.0,IF,D,GOOD,898.9365753302372
0.45,4.8,4.82,3.01,62.1,56,1500.0,IF,G,IDEAL,1173.5993574007298
0.45,4.9,4.91,3.105,62.1,56,1700.0,VVS2,F,GOOD,1825.9234648181591
0.55,5.3,5.325,3.29,62.1,54,1700.0,VVS2,D,PREMIUM,3096.2388318942067
0.55,5.3,5.29,3.08,62.0,56,1800.0,VVS1,E,PREMIUM,1654.2592260241
0.4,4.7,4.69,2.91,62.1,56,1800.0,VVS1,F,IDEAL,486.942402224493
0.4,4.7,5.2425,2.91,62.1,58,2000.0,VVS1,E,PREMIUM,486.942402224493
0.7,5.175000000000001,5.79,3.57,61.6,57,2100.0,SI2,H,IDEAL,5018.878306387676
0.4,4.8,4.78,3.2150000000000003,62.4,58,2100.0,SI2,H,GOOD,2581.2461155120254
0.45,4.9,4.88,3.215,62.5,54,2100.0,I1,J,PREMIUM,2581.246115512022
0.4,4.7,4.69,3.235,62.2,55,2200.0,VVS2,G,VERY GOOD,2718.5775065472735
0.5,5.1,5.477500000000001,3.17,62.1,56,2200.0,VVS1,I,GOOD,2272.2504856827145
0.6,5.5,5.52,3.215,61.900000000000006,57,2200.0,VVS2,D,VERY GOOD,2581.246115512022
0.5,5.2,5.32,3.2,62.125,56,2300.0,SI2,G,GOOD,2478.2475722355884
0.55,5.3,5.32,3.28,62.4,57,2300.0,SI1,J,VERY GOOD,3027.573136376581
0.45,4.9,4.89,3.2425,62.4,59,2300.0,SI2,COLORLESS,VERY GOOD,2770.076778185492
0.55,5.3,5.32,3.28,62.1,54,2300.0,IF,G,IDEAL,3027.573136376581
0.9,6.0,5.5024999999999995,3.7,61.7,56,2400.0,VVS2,G,IDEAL,5911.532348116791
0.4,4.7,5.482499999999999,2.92,62.1,56,2400.0,SI2,H,GOOD,555.6080977421152
0.55,5.4,5.42,3.35,62.1,56,2500.0,VVS2,J,GOOD,3508.233004999951
0.45,4.8,4.81,3.125,62.5,55,2500.0,SI1,H,VERY GOOD,1963.2548558534072
0.55,5.4,5.6274999999999995,3.35,62.3,56,2600.0,SI2,D,GOOD,3508.233004999951
0.9,6.1,6.12,3.78,62.4,56,2600.0,VVS2,H,VERY GOOD,6460.857912257783
0.4,4.7,4.69,2.91,62.1,57,2600.0,SI1,COLORLESS,PREMIUM,486.942402224493
0.45,4.9,5.6274999999999995,3.02,62.4,55,2600.0,SI2,H,FAIR,1242.2650529183557
0.45,4.9,5.6274999999999995,3.03,62.1,59,2600.0,SI2,I,GOOD,1310.9307484359779
0.4,4.8,4.77,2.96,62.075,55,2700.0,SI1,G,VERY GOOD,830.2708798126114
0.55,5.4,5.39,3.33,62.6,57,2800.0,IF,I,PREMIUM,3370.901613964703
0.6,5.5,5.49,3.21,62.075,58,2800.0,VVS2,F,GOOD,2546.9132677532107
0.55,5.4,5.645,3.34,62.4,56,2800.0,I1,G,VERY GOOD,3439.567309482325
0.5,5.2,5.22,3.2925,62.025000000000006,58,2900.0,VVS2,J,IDEAL,3113.4052557736104
0.5,5.1,5.11,3.3025,62.5,55,2900.0,VVS2,G,GOOD,3182.0709512912363
0.65,5.6,5.5075,3.47,62.3,58,2900.0,VVS2,H,FAIR,4332.2213512114395
0.5,5.1,5.535,3.16,62.3,57,3000.0,SI2,H,IDEAL,2203.5847901650923
0.5,5.1,5.15,3.2,61.5,57,3000.0,SI2,J,GOOD,2478.2475722355884
0.55,5.3,5.535,3.29,62.3,59,3100.0,I1,G,IDEAL,3096.2388318942067
0.5,5.2,5.527500000000001,3.22,62.1,57,3100.0,VVS2,H,GOOD,2615.5789632708365
0.5,5.2,5.555,3.22,62.6,58,3100.0,SI1,COLORLESS,VERY GOOD,2615.5789632708365
0.5,5.1,5.535,3.2,61.5,57,3100.0,VVS2,D,GOOD,2478.2475722355884
0.55,5.3,5.29,3.2350000000000003,62.1,58,3100.0,SI2,F,GOOD,2718.5775065472735
0.5,5.2,5.23,3.3,62.1,58,3200.0,VVS1,F,PREMIUM,3164.904527411829
0.5,5.2,5.19,3.4050000000000002,62.8,55,3200.0,IF,G,VERY GOOD,3885.894330346884
0.5,5.1,5.12,3.3425000000000002,62.6,57,3200.0,IF,D,IDEAL,3456.7337333617324
0.65,5.6,5.58,3.48,62.6,57,3300.0,SI1,I,VERY GOOD,4400.887046729062
0.65,5.6,5.59,3.46,62.075,56,3300.0,VVS2,F,PREMIUM,4263.555655693814
0.55,5.4,5.38,3.4050000000000002,62.4,59,3300.0,VVS1,H,GOOD,3885.894330346884
0.65,5.6,5.58,3.47,62.075,56,3300.0,SI2,H,FAIR,4332.2213512114395
0.65,5.6,5.57,3.47,62.025,56,3400.0,SI2,I,VERY GOOD,4332.2213512114395
0.6,5.5,5.49,3.6475,62.2,57,3400.0,I1,I,FAIR,5551.037446649265
0.65,5.5,5.6899999999999995,3.41,62.025,57,3400.0,IF,F,GOOD,3920.227178105695
0.6,5.5,5.52,3.42,61.95,56,3500.0,SI2,G,GOOD,3988.8928736233174
0.65,5.6,5.59,3.47,61.975,57,3500.0,IF,G,IDEAL,4332.2213512114395
0.6,5.5,5.49,3.3775,62.1,56,3600.0,VVS1,E,PREMIUM,3697.063667673414
0.65,5.6,5.57,3.3925,62.4,56,3600.0,VVS2,E,PREMIUM,3800.062210949851
0.6,5.5,5.49,3.41,61.95,56,3600.0,SI1,COLORLESS,PREMIUM,3920.227178105695
0.6,5.6,5.58,3.48,62.050000000000004,57,3700.0,SI1,H,IDEAL,4400.887046729062
0.75,5.7,5.71,3.4074999999999998,62.5,57,3800.0,SI2,G,VERY GOOD,3903.060754226284
0.8,6.1,6.08,3.4475,62.5,57,4000.0,SI1,H,PREMIUM,4177.72353629678
0.7,5.7,5.69,3.53,62.5,57,4000.0,IF,G,IDEAL,4744.21552431718
0.5,5.6,5.21,3.21,61.6,58,4050.0,I1,I,FAIR,2546.9132677532107
0.7,5.7,5.68,3.53,62.7,58,4100.0,VVS1,D,GOOD,4744.21552431718
0.7,5.8,5.77,3.58,62.125,56,4200.0,SI1,I,VERY GOOD,5087.544001905302
0.7,5.7,5.68,3.52,62.5,57,4200.0,SI1,I,PREMIUM,4675.549828799558
0.7,5.7,5.7875,3.54,62.4,55,4300.0,SI2,E,PREMIUM,4812.881219834806
0.7,5.8,5.77,3.59,62.0,55,4300.0,VVS1,E,PREMIUM,5156.209697422924
0.75,5.9,5.89,3.5225,62.7,56,4400.0,SI1,G,VERY GOOD,4692.716252678965
0.75,5.9,5.88,3.65,62.3,56,4400.0,SI2,I,FAIR,5568.203870528669
0.75,5.9,5.89,3.64,61.900000000000006,56,4500.0,IF,F,GOOD,5499.538175011046
0.7,5.7,5.875,3.52,62.0,59,4500.0,I1,F,FAIR,4675.549828799558
0.75,5.8,5.77,3.59,61.974999999999994,56,4600.0,I1,COLORLESS,PREMIUM,5156.209697422924
0.75,5.9,5.91,3.66,62.3,59,4600.0,SI2,H,IDEAL,5636.8695660462945
0.75,5.8,5.81,3.5250000000000004,62.3,56,4600.0,VVS1,H,GOOD,4709.882676558373
0.75,5.9,5.845,3.65,62.5,57,4700.0,I1,I,PREMIUM,5568.203870528669
0.85,5.8,5.82,3.56,62.2,55,4800.0,I1,I,VERY GOOD,4950.212610870054
0.8,6.0,6.01,3.72,62.0,58,4900.0,VVS1,F,GOOD,6048.863739152039
0.8,6.0,5.984999999999999,3.72,62.05,57,5900.0,IF,D,VERY GOOD,6048.863739152039
0.8,6.0,5.984999999999999,3.72,62.7,57,6300.0,VVS2,G,FAIR,6048.863739152039
0.85,6.1,6.13,3.78,62.05,58,6300.0,SI2,H,PREMIUM,6460.857912257783
0.85,6.1,6.11,3.78,62.05,57,6400.0,VVS1,H,GOOD,6460.857912257783
0.85,6.1,6.09,3.78,61.95,56,6500.0,SI2,F,IDEAL,6460.857912257783
0.85,6.0,6.03,3.73,61.95,58,6500.0,VVS2,E,GOOD,6117.529434669661
0.85,6.2,6.21,3.6249999999999996,62.2,57,6500.0,VVS1,E,VERY GOOD,5396.539631734606
0.85,6.2,5.987500000000001,3.84,61.95,59,6600.0,SI1,F,FAIR,6872.852085363527
0.9,6.2,6.22,3.6575,62.3,59,6600.0,SI1,I,FAIR,5619.703142166891
0.9,6.2,6.0325,3.85,62.2,59,6700.0,I1,G,VERY GOOD,6941.517780881153
0.9,6.2,6.21,3.84,61.95,59,6800.0,SI2,D,GOOD,6872.852085363527
0.95,6.3,6.31,3.92,61.95,56,6800.0,VVS2,E,IDEAL,7422.17764950452
0.9,6.3,6.31,3.9,62.0,58,6900.0,SI2,H,FAIR,7284.846258469272
0.95,6.4,6.41,3.97,62.0,58,6900.0,SI2,I,GOOD,7765.506127092642
1.1,6.6,6.58,3.76,62.5,54,7100.0,SI2,F,PREMIUM,6323.526521222535
0.95,6.4,6.42,3.96,62.075,56,7100.0,VVS2,G,IDEAL,7696.840431575016
0.95,6.4,6.38,3.96,62.050000000000004,56,7100.0,VVS1,G,PREMIUM,7696.840431575016
1.05,6.7,6.68,3.835,62.5,57,7300.0,VVS2,H,FAIR,6838.519237604716
0.95,6.3,6.31,3.91,62.4,57,7300.0,SI2,F,VERY GOOD,7353.511953986897
1.05,6.6,6.59,4.08,62.050000000000004,58,7400.0,I1,G,FAIR,8520.828777786504
1.05,6.7,6.68,4.14,62.050000000000004,56,7400.0,I1,G,GOOD,8932.822950892245
1.0,6.4,6.2425,4.0,62.050000000000004,58,7500.0,SI1,F,VERY GOOD,7971.503213645512
1.0,6.5,6.49,3.83,61.7,58,8075.0,VVS1,H,FAIR,6804.186389845905
1.05,6.6,6.58,3.8850000000000002,62.7,57,8500.0,SI2,E,GOOD,7181.847715192838
1.05,6.6,6.65,4.11,62.125,58,9200.0,SI2,F,PREMIUM,8726.825864339378
1.15,6.7,6.71,4.14,62.6,57,9200.0,VVS2,F,FAIR,8932.822950892245
1.1,6.6,6.265000000000001,4.08,62.125,57,9200.0,VVS1,I,FAIR,8520.828777786504
1.05,6.6,6.62,4.09,62.6,57,9300.0,VVS1,I,FAIR,8589.494473304127
1.15,6.8,6.82,4.21,62.6,58,9300.0,SI1,I,PREMIUM,9413.482819515615
0.95,6.3,6.327500000000001,3.9,62.6,58,9400.0,SI1,F,FAIR,7284.846258469272
1.1,6.8,6.79,4.21,62.125,57,9400.0,VVS2,H,GOOD,9413.482819515615
1.05,6.7,6.69,4.13,62.025,58,9500.0,VVS1,G,IDEAL,8864.157255374623
1.1,6.7,6.3175,4.15,62.2,56,9500.0,SI1,G,VERY GOOD,9001.488646409874
1.15,6.9,6.88,4.27,62.05,56,9600.0,SI2,E,IDEAL,9825.47699262136
1.05,6.6,6.59,4.09,61.875,58,9600.0,SI1,COLORLESS,VERY GOOD,8589.494473304127
1.15,6.8,6.85,4.23,62.7,57,9800.0,VVS1,H,GOOD,9550.814210550867
1.3,7.0,6.4174999999999995,4.33,62.7,56,9800.0,SI2,D,VERY GOOD,10237.471165727107
1.15,6.5,6.389999999999999,4.02,62.0,58,9800.0,SI1,F,PREMIUM,8108.8346046807565
1.3,6.9,6.4575,4.26,62.3,57,9900.0,VVS2,F,VERY GOOD,9756.811297103737
1.35,7.1,7.12,4.4,62.1,56,9900.0,I1,I,IDEAL,10718.131034350477
1.3,6.9,6.92,4.0525,62.8,59,9900.0,I1,G,PREMIUM,8331.998115113041
1.3,7.0,7.01,4.34,62.1,57,9900.0,VVS1,H,FAIR,10306.13686124473
1.2,6.8,6.82,4.2,61.7,58,10000.0,SI2,D,GOOD,9344.817123997993
1.2,6.9,6.88,4.27,62.5,56,10100.0,SI2,G,FAIR,9825.47699262136
1.2,6.9,6.89,3.9725,62.8,54,10100.0,VVS1,H,VERY GOOD,7782.672550972045
1.2,6.8,6.81,4.21,62.7,56,10100.0,SI2,G,PREMIUM,9413.482819515615
1.2,6.8,6.347499999999999,4.2,62.125,58,10100.0,VVS2,F,PREMIUM,9344.817123997993
1.3,7.0,6.347499999999999,4.33,62.7,58,10200.0,SI2,E,PREMIUM,10237.471165727107
1.2,6.8,6.347499999999999,4.2,62.7,58,10200.0,IF,H,VERY GOOD,9344.817123997993
1.3,7.1,6.347499999999999,4.39,62.175,56,10300.0,IF,G,VERY GOOD,10649.465338832848
1.25,6.8,6.347499999999999,4.21,62.175,59,10300.0,VVS1,E,PREMIUM,9413.482819515615
1.25,6.9,6.3725,4.27,62.150000000000006,55,10400.0,VVS1,F,GOOD,9825.47699262136
1.25,6.9,6.3725,4.26,62.150000000000006,58,10400.0,SI2,I,VERY GOOD,9756.811297103737
1.25,6.9,6.91,4.01,62.3,58,10500.0,SI1,G,IDEAL,8040.168909163134
1.3,6.9,6.4475,4.3,63.0,60,10500.0,SI1,I,PREMIUM,10031.474079174233
1.35,7.2,6.4475,4.46,62.8,57,10700.0,SI2,F,VERY GOOD,11130.125207456218
1.4,7.1,7.12,4.115,62.4,59,11000.0,VVS1,G,PREMIUM,8761.15871209819
1.4,7.1,6.5,4.39,62.7,59,11200.0,SI2,H,FAIR,10649.465338832848
1.4,7.1,6.5,4.4,62.7,58,11500.0,SI1,G,IDEAL,10718.131034350477
1.4,7.2,6.5,4.45,62.7,58,12000.0,SI1,F,VERY GOOD,11061.459511938596
